water_district,wdid,admin_number,admin_date
1,0100500,6685.00000,1868-04-20
1,0100500,12470.00000,1884-02-21
1,0100500,9497.00000,1876-01-01
1,0100501,20543.00000,1906-03-31
1,0100501,31423.29219,1936-01-13
1,0100501,26302.20226,1922-01-05
1,0100501,20226.00000,1905-05-18
1,0100502,12470.00000,1884-02-21
1,0100502,8402.00000,1873-01-01
1,0100502,9497.00000,1876-01-01
1,0100503,20969.00000,1907-05-31
1,0100503,9497.00000,1876-01-01
1,0100503,50466.00000,1988-03-03
1,0100503,51356.00000,1990-08-10
1,0100503,31423.29219,1936-01-13
1,0100503,22212.00000,1910-10-25
1,0100503,21031.00000,1907-08-01
1,0100503,19083.00000,1902-04-01
1,0100503,49841.00000,1986-06-17
1,0100503,46751.45836,1977-12-31
1,0100503,50769.49378,1988-12-31
1,0100503,50712.00000,1988-11-04
1,0100503,45655.21285,1974-12-31
1,0100503,55637.00000,2002-04-30
1,0100503,55989.00000,2003-04-17
1,0100503,53330.00000,1996-01-05
1,0100503,57340.00000,2006-12-28
1,0100503,58067.00000,2008-12-24
1,0100503,58074.00000,2008-12-31
1,0100503,60750.00000,2016-04-29
1,0100506,11804.00000,1882-04-26
1,0100506,11049.00000,1880-04-01
1,0100507,8511.00000,1873-04-20
1,0100507,7944.00000,1871-10-01
1,0100507,11049.00000,1880-04-01
1,0100507,11804.00000,1882-04-26
1,0100507,14154.00000,1888-10-01
1,0100507,18353.00000,1900-04-01
1,0100507,49826.00000,1986-06-02
1,0100507,44706.00000,1972-05-26
1,0100507,48198.00000,1981-12-17
1,0100507,48278.00000,1982-03-07
1,0100507,31423.29219,1936-01-13
1,0100507,49733.00000,1986-03-01
1,0100507,21564.00000,1909-01-15
1,0100507,53300.00000,1995-12-06
1,0100507,51488.00000,1990-12-20
1,0100507,52633.00000,1994-02-07
1,0100507,54819.00000,2000-02-02
1,0100507,56872.00000,2005-09-16
1,0100507,56008.00000,2003-05-06
1,0100507,56589.00000,2004-12-07
1,0100507,57341.00000,2006-12-29
1,0100509,13468.00000,1886-11-15
1,0100509,9283.00000,1875-06-01
1,0100510,7761.00000,1871-04-01
1,0100510,13971.00000,1888-04-01
1,0100511,11622.00000,1881-10-26
1,0100511,55864.00000,2002-12-13
1,0100511,59038.00000,2011-08-22
1,0100511,57341.00000,2006-12-29
1,0100511,60994.00000,2016-12-29
1,0100513,44699.00000,1972-05-19
1,0100513,18765.00000,1901-05-18
1,0100513,31423.29219,1936-01-13
1,0100513,56977.00000,2005-12-30
1,0100514,11979.00000,1882-10-18
1,0100514,44699.00000,1972-05-19
1,0100514,55150.00000,2000-12-29
1,0100514,56228.00000,2003-12-12
1,0100514,55822.00000,2002-11-01
1,0100514,59590.00000,2013-02-24
1,0100515,13985.00000,1888-04-15
1,0100515,11859.00000,1882-06-20
1,0100515,6685.00000,1868-04-20
1,0100515,7075.00000,1869-05-15
1,0100515,44723.00000,1972-06-12
1,0100515,51488.00000,1990-12-20
1,0100515,57191.00000,2006-08-01
1,0100515,58787.00000,2010-12-14
1,0100516,14185.00000,1888-11-01
1,0100516,8948.00000,1874-07-01
1,0100517,12516.00000,1884-04-07
1,0100517,7762.00000,1871-04-02
1,0100517,8948.00000,1874-07-01
1,0100517,14185.00000,1888-11-01
1,0100517,51488.00000,1990-12-20
1,0100517,55995.00000,2003-04-23
1,0100517,58004.00000,2008-10-22
1,0100517,57494.00000,2007-05-31
1,0100518,11935.00000,1882-09-04
1,0100518,13985.00000,1888-04-15
1,0100518,44723.00000,1972-06-12
1,0100518,48577.00000,1982-12-31
1,0100518,47116.46386,1978-12-31
1,0100518,47224.00000,1979-04-18
1,0100518,51488.00000,1990-12-20
1,0100518,55890.00000,2003-01-08
1,0100519,18687.00000,1901-03-01
1,0100519,19009.00000,1902-01-17
1,0100519,13683.00000,1887-06-18
1,0100519,47847.46567,1980-12-31
1,0100519,51488.00000,1990-12-20
1,0100519,19071.00000,1902-03-20
1,0100519,55491.00000,2001-12-05
1,0100523,13683.00000,1887-06-18
1,0100523,19009.00000,1902-01-17
1,0100525,11870.00000,1882-07-01
1,0100525,9085.00000,1874-11-15
1,0100526,13249.00000,1886-04-10
1,0100526,8188.00000,1872-06-01
1,0100526,45846.00000,1975-07-10
1,0100526,51488.00000,1990-12-20
1,0100547,14591.00000,1889-12-12
1,0100547,16761.14591,1895-11-21
1,0100547,20574.00000,1906-05-01
1,0100556,16016.00000,1893-11-06
1,0100556,20659.00000,1906-07-25
1,0100556,16764.00000,1895-11-24
1,0100561,16761.07457,1895-11-21
1,0100561,17323.00000,1897-06-05
1,0100562,57340.00000,2006-12-28
1,0100562,58067.00000,2008-12-24
1,0100565,16902.00000,1896-04-10
1,0100565,22372.00000,1911-04-03
1,0100568,13933.00000,1888-02-23
1,0100568,14358.00000,1889-04-23
1,0100569,58439.57341,2009-12-31
1,0100569,57341.00000,2006-12-29
1,0100570,16761.16754,1895-11-21
1,0100570,21220.00000,1908-02-06
1,0100587,56247.00000,2003-12-31
1,0100587,57494.00000,2007-05-31
1,0100587,58439.00000,2009-12-31
1,0100587,59080.00000,2011-10-03
1,0100587,59167.00000,2011-12-29
1,0100589,16761.16732,1895-11-21
1,0100589,20544.00000,1906-04-01
1,0100589,20909.00000,1907-04-01
1,0100601,58095.00000,2009-01-21
1,0100601,59784.00000,2013-09-06
1,0100601,59892.00000,2013-12-23
1,0100613,26302.23987,1922-01-05
1,0100613,26302.25993,1922-01-05
1,0100620,16761.13146,1895-11-21
1,0100620,16761.13223,1895-11-21
1,0100620,16761.16500,1895-11-21
1,0100620,18301.00000,1900-02-08
1,0100620,19492.00000,1903-05-15
1,0100633,12773.00000,1884-12-20
1,0100633,13058.00000,1885-10-01
1,0100636,58095.00000,2009-01-21
1,0100636,59892.00000,2013-12-23
1,0100643,16761.12797,1895-11-21
1,0100643,16761.12754,1895-11-21
1,0100658,14008.00000,1888-05-08
1,0100658,16761.16602,1895-11-21
1,0100659,12899.00000,1885-04-25
1,0100659,16761.16602,1895-11-21
1,0100661,11823.00000,1882-05-15
1,0100661,16762.00000,1895-11-22
1,0100661,19895.00000,1904-06-21
1,0100662,58095.00000,2009-01-21
1,0100662,59892.00000,2013-12-23
1,0100663,13343.00000,1886-07-13
1,0100663,16762.00000,1895-11-22
1,0100664,20346.00000,1905-09-15
1,0100664,21729.00000,1909-06-29
1,0100674,20953.00000,1907-05-15
1,0100674,21685.00000,1909-05-16
1,0100685,22044.00000,1910-05-10
1,0100685,22115.00000,1910-07-20
1,0100687,26302.23522,1922-01-05
1,0100687,26302.23953,1922-01-05
1,0100687,21350.00000,1908-06-15
1,0100687,53454.00000,1996-05-08
1,0100687,55882.00000,2002-12-31
1,0100688,18674.00000,1901-02-16
1,0100688,52301.00000,1993-03-12
1,0100688,59900.59110,2013-12-31
1,0100690,23375.00000,1913-12-31
1,0100690,20981.00000,1907-06-12
1,0100694,20028.00000,1904-11-01
1,0100694,20673.00000,1906-08-08
1,0100709,54786.53782,1999-12-31
1,0100709,54786.54650,1999-12-31
1,0100730,22054.00000,1910-05-20
1,0100730,22115.00000,1910-07-20
1,0100734,46386.43339,1976-12-31
1,0100734,47055.00000,1978-10-31
1,0100750,31423.20868,1936-01-13
1,0100750,39135.00000,1957-02-23
1,0100755,27148.00000,1924-04-30
1,0100755,44559.27148,1971-12-31
1,0100810,44194.20711,1970-12-31
1,0100810,48577.40694,1982-12-31
1,0100810,48577.26037,1982-12-31
1,0100813,11414.00000,1881-04-01
1,0100813,13972.00000,1888-04-02
1,0100813,11823.00000,1882-05-15
1,0100823,7675.00000,1871-01-05
1,0100823,14496.00000,1889-09-08
1,0100825,45186.00000,1973-09-18
1,0100825,50244.00000,1987-07-25
1,0100829,22059.00000,1910-05-25
1,0100829,31423.29219,1936-01-13
1,0100829,56247.55394,2003-12-31
1,0100829,56613.55995,2004-12-31
1,0100873,55412.00000,2001-09-17
1,0100873,47116.19357,1978-12-31
1,0100877,26302.24791,1922-01-05
1,0100877,29310.00000,1930-04-01
1,0100879,16761.16048,1895-11-21
1,0100879,30680.00000,1933-12-31
1,0100901,59784.00000,2013-09-06
1,0100901,59892.00000,2013-12-23
1,0100905,16923.00000,1896-05-01
1,0100905,17484.00000,1897-11-13
1,0100935,51134.38501,1989-12-31
1,0100935,51134.21397,1989-12-31
1,0102022,48267.00000,1982-02-24
1,0102022,47116.46386,1978-12-31
1,0102035,48198.00000,1981-12-17
1,0102035,48278.00000,1982-03-07
1,0102036,44706.00000,1972-05-26
1,0102036,48278.00000,1982-03-07
1,0102036,48198.00000,1981-12-17
1,0102858,58439.00000,2009-12-31
1,0102858,59080.00000,2011-10-03
1,0103009,55412.00000,2001-09-17
1,0103009,56247.55870,2003-12-31
1,0103009,56611.00000,2004-12-29
1,0103009,7603.00000,1870-10-25
1,0103009,7928.00000,1871-09-15
1,0103009,9080.00000,1874-11-10
1,0103009,10120.00000,1877-09-15
1,0103009,45655.45437,1974-12-31
1,0103028,59899.00000,2013-12-30
1,0103028,7603.00000,1870-10-25
1,0103028,7928.00000,1871-09-15
1,0103028,9080.00000,1874-11-10
1,0103028,10120.00000,1877-09-15
1,0103028,45655.45437,1974-12-31
1,0103028,60662.00000,2016-02-01
1,0103028,60750.00000,2016-04-29
1,0103028,61330.00000,2017-11-30
1,0103029,47116.20240,1978-12-31
1,0103029,47296.00000,1979-06-29
1,0103031,52210.00000,1992-12-11
1,0103031,53911.00000,1997-08-08
1,0103353,26302.25261,1922-01-05
1,0103353,51134.35915,1989-12-31
1,0103353,51134.45411,1989-12-31
1,0103383,44559.36979,1971-12-31
1,0103383,46020.36979,1975-12-31
1,0103384,44559.38606,1971-12-31
1,0103384,46020.38606,1975-12-31
1,0103385,18216.00000,1899-11-15
1,0103385,20470.00000,1906-01-17
1,0103386,20587.00000,1906-05-14
1,0103386,20471.00000,1906-01-18
1,0103386,20470.00000,1906-01-17
1,0103393,52210.00000,1992-12-11
1,0103393,53911.00000,1997-08-08
1,0103400,49841.00000,1986-06-17
1,0103400,50403.49841,1987-12-31
1,0103402,51589.00000,1991-03-31
1,0103402,54056.52324,1997-12-31
1,0103402,53691.51589,1996-12-31
1,0103403,51499.49298,1990-12-31
1,0103403,53691.49298,1996-12-31
1,0103570,15161.00000,1891-07-05
1,0103570,31423.29219,1936-01-13
1,0103570,21564.00000,1909-01-15
1,0103570,44706.00000,1972-05-26
1,0103573,21119.00000,1907-10-28
1,0103573,22730.00000,1912-03-26
1,0103576,15651.00000,1892-11-06
1,0103576,21819.00000,1909-09-27
1,0103592,26302.21292,1922-01-05
1,0103592,22355.00000,1911-03-17
1,0103592,26498.00000,1922-07-20
1,0103592,55668.00000,2002-05-31
1,0103609,26302.22370,1922-01-05
1,0103609,22239.00000,1910-11-21
1,0103609,26498.00000,1922-07-20
1,0103609,55668.00000,2002-05-31
1,0103613,27525.00000,1925-05-12
1,0103613,27728.00000,1925-12-01
1,0103615,26302.26098,1922-01-05
1,0103615,29750.00000,1931-06-15
1,0103625,20470.00000,1906-01-17
1,0103625,47185.00000,1979-03-10
1,0103626,15254.00000,1891-10-06
1,0103626,26302.15255,1922-01-05
1,0103629,19140.00000,1902-05-28
1,0103629,21715.00000,1909-06-15
1,0103633,21948.00000,1910-02-03
1,0103633,44559.43067,1971-12-31
1,0103645,19999.00000,1904-10-03
1,0103645,21581.00000,1909-02-01
1,0103645,27484.00000,1925-04-01
1,0103646,15262.00000,1891-10-14
1,0103646,16996.00000,1896-07-13
1,0103648,20369.00000,1905-10-08
1,0103648,20231.00000,1905-05-23
1,0103651,22212.00000,1910-10-25
1,0103651,31423.29219,1936-01-13
1,0103651,19083.00000,1902-04-01
1,0103651,21031.00000,1907-08-01
1,0103651,50466.00000,1988-03-03
1,0103651,51356.00000,1990-08-10
1,0103651,50769.49378,1988-12-31
1,0103655,18942.00000,1901-11-11
1,0103655,19768.00000,1904-02-15
1,0103809,46386.20503,1976-12-31
1,0103809,48212.20503,1981-12-31
1,0103811,44559.33023,1971-12-31
1,0103811,46020.27209,1975-12-31
1,0103816,31423.29219,1936-01-13
1,0103816,20226.00000,1905-05-18
1,0103816,26302.20226,1922-01-05
1,0103817,19918.18765,1904-07-14
1,0103817,18765.00000,1901-05-18
1,0103817,31423.29219,1936-01-13
1,0103845,25050.24864,1918-08-02
1,0103845,26463.00000,1922-06-15
1,0103856,21628.00000,1909-03-20
1,0103856,27849.00000,1926-04-01
1,0103866,39295.00000,1957-08-02
1,0103866,45846.00000,1975-07-10
1,0103882,43829.20598,1969-12-31
1,0103882,43981.00000,1970-06-01
1,0103883,45655.30680,1974-12-31
1,0103883,55882.30680,2002-12-31
1,0103884,45655.30680,1974-12-31
1,0103884,55882.30680,2002-12-31
1,0103892,45655.21285,1974-12-31
1,0103892,21031.00000,1907-08-01
1,0103892,22243.00000,1910-11-25
1,0103892,19083.00000,1902-04-01
1,0103892,51356.00000,1990-08-10
1,0103894,46020.20608,1975-12-31
1,0103894,59235.00000,2012-03-06
1,0103906,52712.00000,1994-04-27
1,0103906,54786.53782,1999-12-31
1,0103906,54786.54650,1999-12-31
1,0103917,16761.16298,1895-11-21
1,0103917,20470.00000,1906-01-17
1,0103928,51499.45290,1990-12-31
1,0103928,53691.45290,1996-12-31
1,0103934,20959.00000,1907-05-21
1,0103934,54421.47268,1998-12-31
1,0104107,35915.00000,1948-05-01
1,0104107,42094.00000,1965-04-01
1,0104486,36092.00000,1948-10-25
1,0104486,42094.00000,1965-04-01
1,0105001,43422.00000,1968-11-19
1,0105001,11809.00000,1882-05-01
1,0105002,6685.00000,1868-04-20
1,0105002,7075.00000,1869-05-15
1,0105002,11859.00000,1882-06-20
1,0105002,13985.00000,1888-04-15
1,0105006,32687.00000,1939-06-30
1,0105006,39257.00000,1957-06-25
1,0105006,38807.00000,1956-04-01
1,0105006,38790.00000,1956-03-15
1,0105006,56613.52823,2004-12-31
1,0105012,14154.00000,1888-10-01
1,0105012,46020.45746,1975-12-31
1,0105012,46020.45808,1975-12-31
1,0105029,42142.00000,1965-05-19
1,0105029,53691.45806,1996-12-31
1,0105030,42219.00000,1965-08-04
1,0105030,53691.45806,1996-12-31
1,0105032,18687.00000,1901-03-01
1,0105032,35945.00000,1948-05-31
1,0105040,41545.00000,1963-09-30
1,0105040,14154.00000,1888-10-01
1,0105044,32506.00000,1938-12-31
1,0105044,26540.00000,1922-08-31
1,0105045,25932.00000,1920-12-31
1,0105045,36514.00000,1949-12-21
1,0105046,42174.00000,1965-06-20
1,0105046,11979.00000,1882-10-18
1,0105047,38897.00000,1956-06-30
1,0105047,11979.00000,1882-10-18
1,0105048,31216.00000,1935-06-20
1,0105048,11979.00000,1882-10-18
1,0105049,38715.00000,1955-12-31
1,0105049,11979.00000,1882-10-18
1,0105050,38426.00000,1955-03-17
1,0105050,11979.00000,1882-10-18
1,0105051,35578.00000,1947-05-30
1,0105051,14154.00000,1888-10-01
1,0105052,30830.00000,1934-05-30
1,0105052,14154.00000,1888-10-01
1,0105053,36767.00000,1950-08-31
1,0105053,14154.00000,1888-10-01
1,0105053,36633.00000,1950-04-19
1,0105055,13683.00000,1887-06-18
1,0105055,19009.00000,1902-01-17
1,0105055,18687.00000,1901-03-01
1,0105055,30832.00000,1934-06-01
1,0105057,13683.00000,1887-06-18
1,0105057,19009.00000,1902-01-17
1,0105057,18687.00000,1901-03-01
1,0105057,39081.00000,1956-12-31
1,0105058,18687.00000,1901-03-01
1,0105058,31197.00000,1935-06-01
1,0105059,18687.00000,1901-03-01
1,0105059,31563.00000,1936-06-01
1,0105060,18687.00000,1901-03-01
1,0105060,38197.00000,1954-07-31
1,0105061,34380.00000,1944-02-17
1,0105061,14154.00000,1888-10-01
1,0105062,41246.00000,1962-12-05
1,0105062,14154.00000,1888-10-01
1,0105063,36766.00000,1950-08-30
1,0105063,14154.00000,1888-10-01
1,0105074,30132.00000,1932-07-01
1,0105074,11979.00000,1882-10-18
1,0105075,39175.00000,1957-04-04
1,0105075,11979.00000,1882-10-18
1,0105076,38439.00000,1955-03-30
1,0105076,11979.00000,1882-10-18
1,0105077,31948.00000,1937-06-21
1,0105077,11979.00000,1882-10-18
1,0105078,37791.00000,1953-06-20
1,0105078,14154.00000,1888-10-01
1,0105079,38500.00000,1955-05-30
1,0105079,14154.00000,1888-10-01
1,0105080,32871.00000,1939-12-31
1,0105080,14154.00000,1888-10-01
1,0105081,38500.00000,1955-05-30
1,0105081,11979.00000,1882-10-18
1,0105082,35234.00000,1946-06-20
1,0105082,14154.00000,1888-10-01
1,0105083,36633.00000,1950-04-19
1,0105083,14154.00000,1888-10-01
1,0105084,31308.00000,1935-09-20
1,0105084,14154.00000,1888-10-01
1,0105085,33967.00000,1942-12-31
1,0105085,42141.00000,1965-05-18
1,0105085,11979.00000,1882-10-18
1,0105086,29340.00000,1930-05-01
1,0105086,14491.00000,1889-09-03
1,0105087,41733.00000,1964-04-05
1,0105087,14154.00000,1888-10-01
1,0105088,33024.00000,1940-06-01
1,0105088,33754.00000,1942-06-01
1,0105089,41465.00000,1963-07-12
1,0105089,14154.00000,1888-10-01
1,0105090,41465.00000,1963-07-12
1,0105090,14154.00000,1888-10-01
1,0105091,30892.00000,1934-07-31
1,0105091,40275.00000,1960-04-08
1,0105092,37801.00000,1953-06-30
1,0105092,14154.00000,1888-10-01
1,0105093,11809.00000,1882-05-01
1,0105093,35813.00000,1948-01-20
1,0105095,37361.00000,1952-04-16
1,0105095,14154.00000,1888-10-01
1,0105096,38431.00000,1955-03-22
1,0105096,14154.00000,1888-10-01
1,0105097,36625.00000,1950-04-11
1,0105097,14154.00000,1888-10-01
1,0105098,41431.00000,1963-06-08
1,0105098,11979.00000,1882-10-18
1,0105098,44924.00000,1972-12-30
1,0105099,41435.00000,1963-06-12
1,0105099,11979.00000,1882-10-18
1,0105101,37791.00000,1953-06-20
1,0105101,14154.00000,1888-10-01
1,0105102,37864.00000,1953-09-01
1,0105102,11979.00000,1882-10-18
1,0105103,38105.00000,1954-04-30
1,0105103,11979.00000,1882-10-18
1,0105104,37131.00000,1951-08-30
1,0105104,11979.00000,1882-10-18
1,0105104,46751.37131,1977-12-31
1,0105105,31441.00000,1936-01-31
1,0105105,31501.00000,1936-03-31
1,0105109,43467.00000,1969-01-03
1,0105109,14154.00000,1888-10-01
1,0105111,35949.00000,1948-06-04
1,0105111,14154.00000,1888-10-01
1,0105112,30578.00000,1933-09-20
1,0105112,14154.00000,1888-10-01
1,0105113,35944.00000,1948-05-30
1,0105113,14154.00000,1888-10-01
1,0105114,38439.00000,1955-03-30
1,0105114,14154.00000,1888-10-01
1,0105115,38897.00000,1956-06-30
1,0105115,14154.00000,1888-10-01
1,0105117,32506.00000,1938-12-31
1,0105117,14154.00000,1888-10-01
1,0105118,34544.00000,1944-07-30
1,0105118,44542.00000,1971-12-14
1,0105119,38169.00000,1954-07-03
1,0105119,11979.00000,1882-10-18
1,0105120,32677.00000,1939-06-20
1,0105120,11979.00000,1882-10-18
1,0105121,38715.00000,1955-12-31
1,0105121,14154.00000,1888-10-01
1,0105122,18687.00000,1901-03-01
1,0105122,30892.00000,1934-07-31
1,0105124,40881.00000,1961-12-05
1,0105124,41116.00000,1962-07-28
1,0105126,38500.00000,1955-05-30
